"1","0.000000","74.125.250.243","192.53.53.104","UDP","175","3478 → 42934 Len=133"
"2","0.027632","74.125.250.243","192.53.53.104","UDP","179","3478 → 42934 Len=137"
"3","0.035523","192.53.53.104","74.125.250.243","STUN","166","Binding Request user: gKr-PsS_9qryeAoKAAiKYigCIAQQ:Pk2y"
"4","0.043475","74.125.250.243","192.53.53.104","UDP","176","3478 → 42934 Len=134"
"5","0.044266","192.53.53.104","74.125.250.243","UDP","168","42934 → 3478 Len=126"
"6","0.048257","20.189.172.32","192.53.53.104","TLSv1.2","169","Application Data"
"7","0.048259","20.189.172.32","192.53.53.104","TLSv1.2","415","Application Data"
"8","0.048259","20.189.172.32","192.53.53.104","TLSv1.2","93","Application Data"
"9","0.048400","192.53.53.104","20.189.172.32","TCP","66","48832 → 443 [ACK] Seq=1 Ack=481 Win=465 Len=0 TSval=3552888290 TSecr=2897975317"
"10","0.048941","192.53.53.104","20.189.172.32","TLSv1.2","90","Application Data"
"11","0.049026","192.53.53.104","20.189.172.32","TCP","66","48832 → 443 [FIN, ACK] Seq=25 Ack=481 Win=465 Len=0 TSval=3552888290 TSecr=2897975317"
"12","0.050961","192.53.53.104","74.125.250.243","UDP","90","42934 → 3478 Len=48"
"13","0.060106","192.53.53.104","74.125.250.243","UDP","173","42934 → 3478 Len=131"
"14","0.067655","74.125.250.243","192.53.53.104","UDP","164","3478 → 42934 Len=122"
"15","0.073546","74.125.250.243","192.53.53.104","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 118.71.137.48:7744"
"16","0.088112","74.125.250.243","192.53.53.104","UDP","163","3478 → 42934 Len=121"
"17","0.107256","74.125.250.243","192.53.53.104","UDP","163","3478 → 42934 Len=121"
"18","0.107257","74.125.250.243","192.53.53.104","RTCP","106","Application specific   subtype=13"
"19","0.113445","192.53.53.104","74.125.250.243","UDP","90","42934 → 3478 Len=48"
"20","0.124102","74.125.250.243","192.53.53.104","UDP","163","3478 → 42934 Len=121"
"21","0.147467","74.125.250.243","192.53.53.104","UDP","162","3478 → 42934 Len=120"
"22","0.158982","74.125.250.243","192.53.53.104","UDP","161","3478 → 42934 Len=119"
"23","0.176109","192.53.53.104","74.125.250.243","UDP","90","42934 → 3478 Len=48"
"24","0.185472","74.125.250.243","192.53.53.104","UDP","163","3478 → 42934 Len=121"
"25","0.203859","74.125.250.243","192.53.53.104","UDP","165","3478 → 42934 Len=123"
"26","0.223519","74.125.250.243","192.53.53.104","UDP","87","3478 → 42934 Len=45"
"27","0.238470","192.53.53.104","74.125.250.243","UDP","90","42934 → 3478 Len=48"
